"_id",company,get_name,legal_person,registered_capital,registered_time,score,url
5a3cb81ca5d9660b309162ae,拓天伟业(北京)资产管理集团有限公司,拓天伟业（北京）资产管理集团有限公司,李显玉,5000 万人民币,2014-01-22,62,https://m.tianyancha.com/company/2943684049
5a3cb81da5d9660b309162af,极客学院,北京优亿致远无线技术有限公司,靳岩,1160 万美元,2011-09-16,85,https://m.tianyancha.com/company/30303328
5a3cb81ea5d9660b309162b0,中软国际有限公司,中软国际（香港）有限公司,陈宇红,-,1999-11-03,98,https://m.tianyancha.com/company/11191981
5a3cb81fa5d9660b309162b1,慕华(北京)网络技术有限公司,慕华（北京）网络技术有限公司,聂风华,2800万美元,2014-10-13,76,https://m.tianyancha.com/company/27888475
5a3cb820a5d9660b309162b2,小付钱包技术(北京)有限公司,小付钱包技术（北京）有限公司,张煜强,1000 万人民币,2011-03-03,92,https://m.tianyancha.com/company/25166139
5a3cb821a5d9660b309162b3,北京商高科技有限公司,北京商高科技有限公司,张玉,357.1459 万人民币,2012-05-25,67,https://m.tianyancha.com/company/3010667990
5a3cb822a5d9660b309162b4,北京多联元信息技术有限公司,北京多联元信息技术有限公司,朱天依,1000 万人民币,2008-03-07,73,https://m.tianyancha.com/company/24809821
5a3cb823a5d9660b309162b5,北京盈海益讯科技发展有限公司,北京盈海益讯科技发展有限公司,曹翊,2500 万人民币,2012-05-07,85,https://m.tianyancha.com/company/28809375
5a3cb826a5d9660b309162b6,北京艾唯博瑞科技有限公司,北京艾唯博瑞科技有限公司,杨君,500 万人民币,2010-01-13,57,https://m.tianyancha.com/company/21508807
5a3cb826a5d9660b309162b7,金电联行（北京）信息技术有限公司,金电联行（北京）信息技术有限公司,范晓忻,7903.5849 万人民币,2007-06-12,99,https://m.tianyancha.com/company/3797818
5a3cb826a5d9660b309162b8,北京造数科技有限公司,北京造数科技有限公司,黄震昕,100 万人民币,2016-10-14,67,https://m.tianyancha.com/company/2999142552
5a3cb827a5d9660b309162b9,北京尚客传媒科技有限公司,北京尚客传媒科技有限公司,孙肇铜,100 万人民币,2016-10-21,69,https://m.tianyancha.com/company/2960121292
5a3cb828a5d9660b309162ba,在线途游(北京)科技有限公司,在线途游（北京）科技有限公司,贺祥刚,1433.6467 万人民币,2013-02-25,96,https://m.tianyancha.com/company/24596577
5a3cb829a5d9660b309162bb,北京红枣科技有限公司,北京红枣科技有限公司,何亦凡,1444.44 万人民币,2014-09-19,93,https://m.tianyancha.com/company/29584531
5a3cb82aa5d9660b309162bc,玫瑰视界(北京)网络科技有限公司,玫瑰视界（北京）网络科技有限公司,肖宇,230 万人民币,2012-06-18,56,https://m.tianyancha.com/company/25175033
5a3cb82ba5d9660b309162bd,北京首都在线科技股份有限公司,北京首都在线科技股份有限公司,曲宁,10323.3222 万人民币,2005-07-13,96,https://m.tianyancha.com/company/6046502
5a3cb82ca5d9660b309162be,北京专脑信息技术有限公司,北京专脑信息技术有限公司,张晓华,50 万元 人民币,2010-04-16,71,https://m.tianyancha.com/company/2347769206
5a3cb82da5d9660b309162bf,北京盖娅互娱网络科技股份有限公司,北京盖娅互娱网络科技股份有限公司,王彦直,16288.275 万人民币,2009-08-25,96,https://m.tianyancha.com/company/1714066435
5a3cb82ea5d9660b309162c0,北京天广汇通科技有限公司,北京天广汇通科技有限公司,吴云坤,1313.55 万人民币,2012-07-04,84,https://m.tianyancha.com/company/16949958
5a3cb82fa5d9660b309162c1,北京百悟科技有限公司,北京百悟科技有限公司,傅竞捷,5000 万人民币,2010-07-12,87,https://m.tianyancha.com/company/8582569
5a3cb830a5d9660b309162c2,北京新界教育科技有限公司,北京新界教育科技有限公司,王绍旭,1000 万人民币,2015-11-30,62,https://m.tianyancha.com/company/2357319041
5a3cb831a5d9660b309162c3,北京互联直通网络科技有限公司,北京互联直通网络科技有限公司,孙颖,500 万人民币,2013-06-13,80,https://m.tianyancha.com/company/25324807
5a3cb832a5d9660b309162c4,北京中睿天下信息技术有限公司,北京中睿天下信息技术有限公司,刘庆林,2155.1724 万人民币,2014-06-03,69,https://m.tianyancha.com/company/31326376
5a3cb833a5d9660b309162c5,北京迈基诺基因科技股份有限公司,北京迈基诺基因科技股份有限公司,伍建,2142 万人民币,2011-11-17,89,https://m.tianyancha.com/company/2353966093
5a3cb834a5d9660b309162c6,北京裕天合生物材料科技有限公司,北京裕天合生物材料科技有限公司,吴进步,50 万人民币,2005-11-23,48,https://m.tianyancha.com/company/11629499
5a3cb835a5d9660b309162c7,北京链上科技有限责任公司,北京链上科技有限责任公司,钟庚发,124.2691 万人民币,2017-09-07,58,https://m.tianyancha.com/company/3095047668
5a3cb836a5d9660b309162c8,北京卓越讯通科技有限公司,北京卓越讯通科技有限公司,赖兆红,1000 万元 人民币,2013-06-03,73,https://m.tianyancha.com/company/25743952
5a3cb837a5d9660b309162c9,海南大云科技有限公司,海南大云科技有限公司,罗旋,123.46万人民币,2016-11-22,66,https://m.tianyancha.com/company/2963761500
5a3cb838a5d9660b309162ca,北京云途腾科技有限责任公司,北京云途腾科技有限责任公司,刘江涛,1078.590786 万人民币,2014-07-11,89,https://m.tianyancha.com/company/29509802
5a3cb839a5d9660b309162cb,北京号外科技有限公司,北京号外科技有限公司,李名金,1000 万人民币,2015-04-20,77,https://m.tianyancha.com/company/1228659448
5a3cb83aa5d9660b309162cc,京工博创(北京)科技有限公司,京工博创（北京）科技有限公司,李顺波,500 万人民币,2016-02-29,48,https://m.tianyancha.com/company/2350361877
5a3cb83ba5d9660b309162cd,北京点石经纬科技有限公司,北京点石经纬科技有限公司,贾云海,4105.0903 万人民币,2014-01-14,85,https://m.tianyancha.com/company/27253171
5a3cb83ca5d9660b309162ce,中创三优(北京)科技有限公司,中创三优（北京）科技有限公司,王齐,3111.1111 万人民币,2015-07-03,89,https://m.tianyancha.com/company/2314156703
5a3cb83da5d9660b309162cf,北京弘道智慧中医技术有限公司,北京弘道智慧中医技术有限公司,朱文臣,5000 万人民币,2017-09-19,83,https://m.tianyancha.com/company/3100439447
5a3cb83ea5d9660b309162d0,医源国际医院管理有限公司,医源国际医院管理有限公司,马春光,5000 万人民币,2016-07-05,80,https://m.tianyancha.com/company/2570422610
5a3cb840a5d9660b309162d1,北京阿尔山金融科技有限公司,北京阿尔山金融科技有限公司,袁力,1000 万人民币,2016-06-23,93,https://m.tianyancha.com/company/2965176051
5a3cb840a5d9660b309162d2,思沃创智信息技术(北京)有限公司,思沃创智信息技术（北京）有限公司,陈素珍,100 万元 人民币,2012-01-05,49,https://m.tianyancha.com/company/40246728
5a3cb841a5d9660b309162d3,京东集团,香港京东集团有限公司,徐耀东,-,2014-03-24,-,https://m.tianyancha.com/company/3087171115
5a3cb842a5d9660b309162d4,北京一览群智数据科技有限责任公司,北京一览群智数据科技有限责任公司,董岩,555.555 万人民币,2015-11-06,67,https://m.tianyancha.com/company/2347290621
5a3cb843a5d9660b309162d5,云学科技(北京)有限公司,普信恒业科技发展（北京）有限公司,唐宁,66790 万元 人民币,2010-04-02,91,https://m.tianyancha.com/company/26110578
5a3cb844a5d9660b309162d6,用友广信网络科技有限公司,用友广信网络科技有限公司,王文京,5000 万人民币,2015-05-14,75,https://m.tianyancha.com/company/855602616
5a3cb845a5d9660b309162d7,联想集团有限公司,联想集团有限公司,柳传志,-,1993-10-05,98,https://m.tianyancha.com/company/78705293
5a3cb846a5d9660b309162d8,北京阿拉丁未来科技有限责任公司,北京阿拉丁未来科技有限责任公司,史文禄,125.1565 万人民币,2016-12-14,64,https://m.tianyancha.com/company/2944396331
5a3cb847a5d9660b309162d9,中国电力传媒集团有限公司,中国电力传媒集团有限公司,白俭成,30000 万人民币,2011-12-20,96,https://m.tianyancha.com/company/6933499
5a3cb848a5d9660b309162da,歌德盈香股份有限公司,歌德盈香股份有限公司,刘晓伟,20020.6909 万人民币,2012-03-08,98,https://m.tianyancha.com/company/25500578
5a3cb849a5d9660b309162db,北京华喜创科科技有限公司,北京华喜创科科技有限公司,王高峰,1250 万人民币,2017-04-14,74,https://m.tianyancha.com/company/3109309295
5a3cb84aa5d9660b309162dc,天创信用服务有限公司,天创信用服务有限公司,赵千里,5000 万人民币,2015-04-02,66,https://m.tianyancha.com/company/1184510830
5a3cb84ba5d9660b309162dd,北京金源动力信息化测评技术有限公司,北京金源动力信息化测评技术有限公司,胡建生,500 万人民币,2001-09-29,58,https://m.tianyancha.com/company/25256346
5a3cb84ca5d9660b309162de,北京格灵深瞳信息技术有限公司,北京格灵深瞳信息技术有限公司,赵勇,1933.3779万美元,2013-08-16,86,https://m.tianyancha.com/company/24995072
5a3cb84da5d9660b309162df,北京宏嘉文化发展有限公司,北京宏嘉文化发展有限公司,周振龙,2000 万人民币,2015-08-14,56,https://m.tianyancha.com/company/880642479
5a3cb84ea5d9660b309162e0,北京创金启富投资管理有限公司,北京创金启富投资管理有限公司,梁蓉,2823.5294 万人民币,2012-05-07,81,https://m.tianyancha.com/company/25453936
5a3cb84fa5d9660b309162e1,北京华信傲天网络技术有限公司,北京华信傲天网络技术有限公司,刘钧,1000 万人民币,2015-10-13,77,https://m.tianyancha.com/company/2314194803
5a3cb850a5d9660b309162e2,同辉佳视(北京)信息技术股份有限公司,同辉佳视（北京）信息技术股份有限公司,戴福昊,8555.5665 万元 人民币,2008-07-31,87,https://m.tianyancha.com/company/7159447
5a3cb851a5d9660b309162e3,Gameloft,智乐软件（成都）有限公司,Michel Guillemot,20万美元,2006-03-31,72,https://m.tianyancha.com/company/2350257291
5a3cb852a5d9660b309162e4,北京奥金智策传媒科技有限公司,北京奥金智策传媒科技有限公司,周原,5000 万人民币,2016-08-09,76,https://m.tianyancha.com/company/2361218133
5a3cb853a5d9660b309162e5,蓝信移动(北京)科技有限公司,蓝信移动（北京）科技有限公司,佟群群,333.3333 万人民币,2014-02-24,71,https://m.tianyancha.com/company/3014410476
5a3cb854a5d9660b309162e6,贵阳高新联合智造运营管理有限公司,贵阳高新联合智造运营管理有限公司,喻川,700万人民币,2015-06-12,82,https://m.tianyancha.com/company/600686601
5a3cb855a5d9660b309162e7,瑞林嘉驰(北京)资产管理有限责任公司,瑞林嘉驰（北京）资产管理有限责任公司,杨琳,2800 万元 人民币,2014-05-20,61,https://m.tianyancha.com/company/29379510
5a3cb856a5d9660b309162e8,北京阳光伟烨网络技术有限公司,北京阳光伟烨网络技术有限公司,罗峰,1000 万人民币,2013-12-30,67,https://m.tianyancha.com/company/25137436
5a3cb857a5d9660b309162e9,中国科学院空间应用工程与技术中心,中国科学院空间应用工程与技术中心,郭浩,2000万人民币,-,82,https://m.tianyancha.com/company/32737934
5a3cb858a5d9660b309162ea,盛安保险技术股份有限公司,盛安保险技术股份有限公司,马海骋,5000 万人民币,2015-10-16,87,https://m.tianyancha.com/company/2310415606
5a3cb859a5d9660b309162eb,福人德国际(北京)红珊瑚珠宝有限公司,福人德国际（北京）红珊瑚珠宝有限公司,林金銮,230万美元,1991-09-27,75,https://m.tianyancha.com/company/21309961
5a3cb85aa5d9660b309162ec,北京博创联动科技有限公司,北京博创联动科技有限公司,陶伟,812.7947 万人民币,2014-12-29,93,https://m.tianyancha.com/company/30141850
5a3cb85ba5d9660b309162ed,北京柯斯元科技有限公司,北京柯斯元科技有限公司,王爱民,1100万人民币,2012-07-10,77,https://m.tianyancha.com/company/25097019
5a3cb85ca5d9660b309162ee,北京网录科技有限公司,北京网录科技有限公司,吕旭军,129.87 万人民币,2016-07-19,69,https://m.tianyancha.com/company/2435088705
5a3cb85da5d9660b309162ef,北京湛腾世纪科技有限公司,北京湛腾世纪科技有限公司,王晨曦,1000 万人民币,2011-12-13,80,https://m.tianyancha.com/company/24796391
5a3cb85ea5d9660b309162f0,北京春天影视科技有限公司,北京春天影视科技有限公司,郭崴娇,120 万人民币,2014-06-23,67,https://m.tianyancha.com/company/2542563745
5a3cb85fa5d9660b309162f1,北京游行天下科技有限公司,北京游行天下科技有限公司,张森淼,100 万人民币,2016-05-18,53,https://m.tianyancha.com/company/2352832599
5a3cb860a5d9660b309162f2,深圳市恒扬数据股份有限公司,深圳市恒扬数据股份有限公司,陈龙森,(人民币)7198万人民币,2003-11-12,85,https://m.tianyancha.com/company/2405485885
5a3cb861a5d9660b309162f3,触景无限科技(北京)有限公司,触景无限科技（北京）有限公司,陆凡,512.79 万人民币,2010-02-11,88,https://m.tianyancha.com/company/33202344
5a3cb862a5d9660b309162f4,硅谷汇(北京)软件技术有限公司,硅谷汇（北京）软件技术有限公司,边文静,2222.22 万人民币,2016-01-20,88,https://m.tianyancha.com/company/2350118176
5a3cb863a5d9660b309162f5,北大方正集团,北京北大方正集团公司,生玉海,-,-,98,https://m.tianyancha.com/company/8951783
5a3cb864a5d9660b309162f6,唯品会(中国)有限公司,唯品会（中国）有限公司,沈亚,18000万美元,2011-01-20,98,https://m.tianyancha.com/company/103608591
5a3cb865a5d9660b309162f7,富贵鸟矿业,福建省富贵鸟矿业集团有限公司,冯福江,5000.000000万人民币,2009-11-02,97,https://m.tianyancha.com/company/26353064
5a3cb867a5d9660b309162f8,湖南上容信息技术有限公司,湖南上容信息技术有限公司,刘建武,1000万人民币,2013-11-21,61,https://m.tianyancha.com/company/1068010632
5a3cb867a5d9660b309162f9,北京捷科智诚科技有限公司,北京捷科智诚科技有限公司,刘延新,3000 万人民币,2009-04-24,82,https://m.tianyancha.com/company/2033672
5a3cb868a5d9660b309162fa,北京踏歌智行科技有限公司,北京踏歌智行科技有限公司,周华生,306.12 万人民币,2016-10-12,55,https://m.tianyancha.com/company/2944392735
5a3cb869a5d9660b309162fb,新余高新区金泰亚盛咨询有限公司,新余高新区金泰亚盛咨询有限公司,张春,100万人民币,2013-07-09,58,https://m.tianyancha.com/company/2355669825
5a3cb86aa5d9660b309162fc,北京华云网际科技有限公司,北京华云网际科技有限公司,游峰,1811.54 万人民币,2013-01-09,82,https://m.tianyancha.com/company/34251231
5a3cb86ba5d9660b309162fd,北京启明星辰信息安全技术有限公司,北京启明星辰信息安全技术有限公司,严立,29500 万人民币,2000-08-17,96,https://m.tianyancha.com/company/24486215
5a3cb86ca5d9660b309162fe,首约科技(北京)有限公司,首约科技（北京）有限公司,周红,4961.0595 万人民币,2015-01-22,91,https://m.tianyancha.com/company/2943685733
5a3cb86da5d9660b309162ff,北京精真估信息技术有限公司,北京精真估信息技术有限公司,周广印,100 万人民币,2014-03-12,52,https://m.tianyancha.com/company/24862508
5a3cb86ea5d9660b30916300,上融网络科技(北京)有限公司,信和上融网络科技（北京）有限公司,王杨,5000 万元 人民币,2014-09-15,89,https://m.tianyancha.com/company/29568834
5a3cb86fa5d9660b30916301,北京国电通网络技术有限公司,北京国电通网络技术有限公司,王立涛,54000 万元 人民币,2000-03-15,88,https://m.tianyancha.com/company/15001026
5a3cb870a5d9660b30916302,北京登云美业网络科技有限公司,北京登云美业网络科技有限公司,黄文翔,100 万人民币,2016-02-16,64,https://m.tianyancha.com/company/2350289435
5a3cb871a5d9660b30916303,北京泽塔云科技股份有限公司,北京泽塔云科技股份有限公司,查乾,1592.827 万人民币,2014-11-21,75,https://m.tianyancha.com/company/3070628014
5a3cb872a5d9660b30916304,阿拉丁控股集团有限公司,阿拉丁控股集团有限公司,任福英,11005 万人民币,2012-04-16,96,https://m.tianyancha.com/company/24719698
5a3cb873a5d9660b30916305,鹏博士电信传媒集团股份有限公司北京科技分公司,鹏博士电信传媒集团股份有限公司北京科技分公司,张光剑,-,2010-03-11,45,https://m.tianyancha.com/company/15573170
5a3cb874a5d9660b30916306,中国软件与技术服务股份有限公司,中国软件与技术服务股份有限公司,周进军,49456.2782 万人民币,1994-03-01,98,https://m.tianyancha.com/company/1228868
5a3cb875a5d9660b30916307,冠诚(北京)信息服务有限公司,冠诚（北京）信息服务有限公司,刘英平,5000 万人民币,2016-04-22,89,https://m.tianyancha.com/company/2352726792
5a3cb876a5d9660b30916308,中国搜索信息科技股份有限公司,中国搜索信息科技股份有限公司,周锡生,10000 万人民币,2014-02-08,94,https://m.tianyancha.com/company/208964795
5a3cb877a5d9660b30916309,北京北大英华科技有限公司,北京北大英华科技有限公司,乔聪啟,1000 万人民币,1999-12-29,84,https://m.tianyancha.com/company/6260993
5a3cb878a5d9660b3091630a,国美在线电子商务有限公司,国美在线电子商务有限公司,陈萍,8333.3333万人民币,2011-01-11,86,https://m.tianyancha.com/company/24212499
5a3cb879a5d9660b3091630b,亚信科技(中国)有限公司,亚信科技（中国）有限公司,高念书,2604.057 万美元,1995-05-02,93,https://m.tianyancha.com/company/22969935
5a3cb87ba5d9660b3091630c,北京佳禾永利投资管理有限公司,北京佳禾永利投资管理有限公司,张瑞玲,50000 万人民币,2015-12-21,95,https://m.tianyancha.com/company/2569120521
5a3cb87ba5d9660b3091630d,网智天元科技集团股份有限公司,网智天元科技集团股份有限公司,蔡锦森,7970万人民币,2007-01-22,67,https://m.tianyancha.com/company/3008933746
5a3cb87ca5d9660b3091630e,上海龙旗科技股份有限公司,上海龙旗科技股份有限公司,杜军红,36000万人民币,2004-10-27,95,https://m.tianyancha.com/company/501526316
5a3cb87da5d9660b3091630f,长安通信科技有限责任公司,长安通信科技有限责任公司,秘建虎,5000 万人民币,2002-02-06,84,https://m.tianyancha.com/company/24586915
5a3cb87ea5d9660b30916310,北京联龙博通电子商务技术有限公司,北京联龙博通电子商务技术有限公司,赵剑,1000 万元 人民币,2002-01-07,85,https://m.tianyancha.com/company/13723745
5a3cb87fa5d9660b30916311,360金融,北京奇虎三六零投资管理有限公司,徐军,5000 万人民币,2015-05-12,97,https://m.tianyancha.com/company/978094456
5a3cb880a5d9660b30916312,河南中原消费金融股份有限公司,河南中原消费金融股份有限公司,李玉林,50000万人民币,2016-12-29,72,https://m.tianyancha.com/company/2944740637
5a3cb881a5d9660b30916313,北京旋极集团,北京中关村银行股份有限公司,郭洪,400000 万人民币,2017-06-07,90,https://m.tianyancha.com/company/3060417973
5a3cb882a5d9660b30916314,北京渔阳信通信息技术有限公司,北京渔阳信通信息技术有限公司,张义娟,200 万人民币,2014-05-06,52,https://m.tianyancha.com/company/83844482
5a3cb883a5d9660b30916315,北京搜房互联网信息服务有限公司,北京搜房互联网信息服务有限公司,莫天全,1000.000000万人民币,2003-12-17,75,https://m.tianyancha.com/company/28378166
5a3cb884a5d9660b30916316,北京天宇正清科技有限公司,北京天宇正清科技有限公司,刘万贵,1001 万人民币,2006-02-23,64,https://m.tianyancha.com/company/6249593
5a3cb885a5d9660b30916317,北京大米科技有限公司,北京大米科技有限公司,米雯娟,1000 万人民币,2013-10-18,89,https://m.tianyancha.com/company/24839315
5a3cb886a5d9660b30916318,恒泰艾普(北京)云技术有限公司,恒泰艾普（北京）云技术有限公司,孙玉芹,2000 万人民币,2015-12-30,67,https://m.tianyancha.com/company/2352481884
5a3cb887a5d9660b30916319,天津市滨海新区军民融合创新研究院,天津市滨海新区军民融合创新研究院,何建兵,-,-,66,https://m.tianyancha.com/company/177653085
5a3cb888a5d9660b3091631a,嘉实基金管理有限公司,嘉实基金管理有限公司,邓红国,15000万人民币,1999-03-25,98,https://m.tianyancha.com/company/11498412
5a3cb889a5d9660b3091631b,玖富金科控股集团有限责任公司,玖富金科控股集团有限责任公司,任一帆,20000 万人民币,2006-12-08,98,https://m.tianyancha.com/company/3014256105
5a3cb88aa5d9660b3091631c,中电科技(北京)有限公司,中广联合信媒技术（北京）有限公司,张超,11000 万元 人民币,2011-03-28,95,https://m.tianyancha.com/company/108944122
5a3cb88ba5d9660b3091631d,北京图为先科技有限公司,北京图为先科技有限公司,程鹏,16162.0119 万人民币,2004-12-21,87,https://m.tianyancha.com/company/22952763
5a3cb88ca5d9660b3091631e,北京一点网聚信息技术有限公司,北京一点网聚信息技术有限公司,李亚,6300 万美元,2013-12-24,76,https://m.tianyancha.com/company/27851841
5a3cb88da5d9660b3091631f,北京神州泰岳软件股份有限公司,北京神州泰岳软件股份有限公司,王宁,196109.1984 万人民币,2001-05-18,99,https://m.tianyancha.com/company/13219712
5a3cb88ea5d9660b30916320,北京世纪超星信息技术发展有限责任公司,北京世纪超星信息技术发展有限责任公司,付国明,3000 万人民币,2000-01-27,73,https://m.tianyancha.com/company/2211620
5a3cb88fa5d9660b30916321,北京鼎泰智源科技有限公司,北京鼎泰智源科技有限公司,高云升,2395.2043 万人民币,2011-04-26,88,https://m.tianyancha.com/company/24492365
5a3cb890a5d9660b30916322,北京青软实训教育科技有限公司,北京青软实训教育科技有限公司,刘全,100 万人民币,2015-09-11,76,https://m.tianyancha.com/company/2315632446
5a3cb892a5d9660b30916323,百度外卖,北京小度信息科技有限公司,巩振兵,75000 万美元,2015-09-17,87,https://m.tianyancha.com/company/2313776032
5a3cb893a5d9660b30916324,北京云币科技有限公司,北京云币科技有限公司,邱亮,1000 万人民币,2015-05-11,61,https://m.tianyancha.com/company/970991338
5a3cb894a5d9660b30916325,北京知识印象科技有限公司,北京知识印象科技有限公司,刘夜,1088.08 万人民币,2014-07-22,90,https://m.tianyancha.com/company/33238482
5a3cb894a5d9660b30916326,中金数据系统有限公司,中金数据系统有限公司,杨洁,24750 万元 人民币,2005-04-27,97,https://m.tianyancha.com/company/10254595
5a3cb895a5d9660b30916327,玩咖欢聚文化传媒(北京)有限公司,欢聚时代文化传媒（北京）有限公司,高弟男,1000 万元 人民币,2014-03-07,88,https://m.tianyancha.com/company/29968192
5a3cb896a5d9660b30916328,南京君合创胜数据科技有限责任公司,南京君合创胜数据科技有限责任公司,赵兰华,500万人民币,2017-01-16,53,https://m.tianyancha.com/company/3010988107
5a3cb897a5d9660b30916329,深圳市前海洪涛教育科技有限公司北京分公司,深圳市前海洪涛教育科技有限公司北京分公司,刘望,-,2016-11-02,40,https://m.tianyancha.com/company/2964760427
5a3cb898a5d9660b3091632a,山东文辉软件服务外包有限公司,山东文辉软件服务外包有限公司,朱士强,3000万人民币,2014-12-17,71,https://m.tianyancha.com/company/2325759598
5a3cb899a5d9660b3091632b,信永中和(北京)国际投资管理有限公司,信永中和（北京）国际投资管理有限公司,张克,600 万人民币,1999-01-28,77,https://m.tianyancha.com/company/25198840
5a3cb89aa5d9660b3091632c,上海甦翔投资咨询有限公司,上海甦翔投资咨询有限公司,张恒,5000万人民币,2016-03-03,83,https://m.tianyancha.com/company/3090671048
5a3cb89ba5d9660b3091632d,同方鼎欣科技股份有限公司,同方鼎欣科技股份有限公司,隋迎秋,6250 万人民币,1994-08-03,85,https://m.tianyancha.com/company/2344949668
5a3cb89ca5d9660b3091632e,启迪桑德环境资源股份有限公司,启迪桑德环境资源股份有限公司,文一波,102184.1989万人民币,1993-10-11,99,https://m.tianyancha.com/company/2328937543
5a3cb89da5d9660b3091632f,北京华拓金融服务外包有限公司,北京华拓金融服务外包有限公司,张矛,5000 万人民币,2014-12-08,82,https://m.tianyancha.com/company/26987456
5a3cb89ea5d9660b30916330,北京网库信息技术股份有限公司,北京网库信息技术股份有限公司,王海波,10204.0816 万人民币,2005-06-27,99,https://m.tianyancha.com/company/666850212
5a3cb89fa5d9660b30916331,新浪网房产频道,北京新浪互联信息服务有限公司,杜红,12000万人民币,1999-10-28,98,https://m.tianyancha.com/company/4627193
5a3cb8a0a5d9660b30916332,蓝色光标传播集团,北京蓝色光标品牌管理顾问股份有限公司,赵文权,193116.9473 万元 人民币,2002-11-04,99,https://m.tianyancha.com/company/8868761
5a3cb8a1a5d9660b30916333,北京世纪互联宽带数据中心有限公司,北京世纪互联宽带数据中心有限公司,夏菁,32000 万人民币,2006-03-15,99,https://m.tianyancha.com/company/6937916
5a3cb8a2a5d9660b30916334,广联达科技股份有限公司,广联达科技股份有限公司,刁志中,111936.1939 万人民币,1998-08-13,98,https://m.tianyancha.com/company/2357759277
5a3cb8a3a5d9660b30916335,中科软科技股份有限公司,中科软科技股份有限公司,左春,38160 万人民币,1996-05-30,98,https://m.tianyancha.com/company/6726986
5a3cb8a4a5d9660b30916336,上海仁教信息技术有限公司,上海仁教信息技术有限公司,单明,50万人民币,2015-10-19,49,https://m.tianyancha.com/company/2314736473
5a3cb8a5a5d9660b30916337,北京中体骏彩信息技术有限公司,北京中体骏彩信息技术有限公司,郭建军,20020 万元 人民币,2009-06-25,84,https://m.tianyancha.com/company/24834320
5a3cb8a6a5d9660b30916338,苏宁云商集团股份有限公司,苏宁云商集团股份有限公司,张近东,931003.9655万人民币,1996-05-15,100,https://m.tianyancha.com/company/147505
5a3cb8a8a5d9660b30916339,钱包金服(北京)科技有限公司,钱包金服（平潭）科技有限公司,赵国栋,3109.816000万人民币,2015-09-16,95,https://m.tianyancha.com/company/1737602983
5a3cb8a8a5d9660b3091633a,北京信朴量思投资管理有限公司,北京信朴量思投资管理有限公司,单健,1000 万元 人民币,2012-08-29,73,https://m.tianyancha.com/company/2346892764
